ListingID,ListingDate,Neighborhood,YearBuilt,Renovated,Bedrooms,Bathrooms,SqFt_Living,SqFt_Lot,Floors,GarageSpaces,Condition,SchoolRating,DistanceToCenter_km,CrimeIndex,MedianIncome_k,Price_USD
1000001,2025-02-08,Rural,2015,0,2,3.5,2890,7133,1,1,2,1,2.65,33.8,69.6,567500
1000002,2023-06-17,Suburb,1945,1,1,3.0,3150,1067,2,0,4,6,17.53,41.0,97.7,699700
1000003,2023-05-02,Rural,1974,0,4,2.0,1490,10359,2,2,1,6,15.03,50.3,83.0,355000
1000004,2023-03-22,Suburb,1979,0,5,3.5,1821,7261,1,0,5,8,17.39,52.3,41.8,511900
1000005,2025-02-15,Downtown,2008,1,5,1.0,3997,11756,1,0,3,6,18.24,37.2,63.2,1037000
1000006,2024-11-04,Waterfront,1951,0,6,3.5,3652,9577,1,1,3,2,5.6,73.3,45.0,1036000
1000007,2023-05-11,Rural,1977,0,3,3.0,2028,11979,2,2,1,4,5.22,51.3,40.7,433300
1000008,2024-07-02,Rural,1953,0,5,1.5,1391,7338,2,2,3,5,20.43,53.0,80.6,408000
1000009,2025-05-22,Downtown,2007,0,5,1.0,1615,912,2,2,1,10,8.34,71.4,90.3,608500
1000010,2023-09-18,Suburb,1994,0,2,3.5,2492,2655,1,2,5,6,0.5,38.3,87.7,645000
1000011,2024-10-25,Uptown,1982,0,6,2.0,2597,7316,1,2,4,7,19.84,43.7,91.3,714200
1000012,2023-11-17,Waterfront,1973,0,1,4.0,1181,6444,1,2,3,8,4.67,26.2,77.7,525700
1000013,2023-10-14,Suburb,1953,0,4,3.5,743,12080,1,0,5,4,18.2,42.4,72.0,365500
1000014,2024-03-05,Rural,2019,0,6,3.0,2333,6645,2,2,5,10,26.54,22.7,54.4,532300
1000015,2024-01-22,Suburb,1995,1,4,2.0,3451,13015,1,0,1,7,14.15,56.2,68.3,776500
1000016,2024-06-27,Uptown,1967,0,6,3.0,1064,3465,1,0,1,9,22.96,51.3,48.9,410700
1000017,2023-08-14,Suburb,1975,0,1,4.0,2011,6265,1,0,2,8,15.38,40.8,59.4,489300
1000018,2024-03-03,Downtown,2002,1,4,1.0,1098,11540,1,2,1,7,28.29,43.5,80.0,437100
1000019,2024-11-13,Rural,2001,0,5,2.0,1396,2562,2,2,3,1,4.44,56.4,75.4,377900
1000020,2024-02-29,Suburb,1979,0,4,2.0,2765,5364,1,3,3,6,13.93,28.0,145.4,720600
1000021,2024-12-20,Rural,1966,0,6,2.0,1559,11477,2,3,3,2,20.06,48.1,48.4,403600
1000022,2023-05-07,Uptown,1996,0,3,3.5,1476,9164,2,2,1,7,12.29,55.5,75.2,468800
1000023,2023-05-31,Waterfront,1996,1,5,2.5,4184,11849,2,0,5,8,24.37,18.3,46.7,1224800
1000024,2025-08-06,Rural,1991,0,3,2.5,1137,8123,2,2,5,6,10.11,55.3,69.5,334600
1000025,2024-05-21,Rural,1946,0,6,2.0,1200,13001,2,2,3,4,32.62,19.9,70.4,319100
1000026,2024-10-29,Downtown,1980,0,1,1.5,3941,13260,2,2,1,1,33.1,43.2,96.6,870000
1000027,2025-03-21,Suburb,1992,0,2,2.0,2536,14639,1,0,2,7,16.54,27.5,68.1,570200
1000028,2023-06-10,Downtown,2021,0,1,3.5,659,2532,1,0,4,7,18.97,66.5,73.8,299500
1000029,2025-12-01,Downtown,1985,0,5,3.0,2072,9195,2,3,4,5,24.73,27.6,68.5,611600
